2026/09/20 08:12更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
央视频道,#genre#
CCTV1,http://49.232.181.26:6000/rtp/225.1.8.1:8008$北京市电信
CCTV1,http://114.254.32.36:18888/rtp/239.3.1.129:8008$北京市联通
CCTV2,http://49.232.181.26:6000/rtp/225.1.8.2:8084$北京市电信
CCTV2,http://114.254.32.36:18888/rtp/239.3.1.60:8084$北京市联通
CCTV3,http://49.232.181.26:6000/rtp/225.1.8.88:8000$北京市电信
CCTV3,http://114.254.32.36:18888/rtp/239.3.1.172:8001$北京市联通
CCTV4,http://49.232.181.26:6000/rtp/225.1.8.4:8092$北京市电信
CCTV4,http://114.254.32.36:18888/rtp/239.3.1.105:8092$北京市联通
CCTV4欧洲,http://114.254.32.36:18888/rtp/239.3.1.213:4220$北京市联通
CCTV4美洲,http://114.254.32.36:18888/rtp/239.3.1.214:4220$北京市联通
CCTV5,http://49.232.181.26:6000/rtp/225.1.8.89:8000$北京市电信
CCTV5,http://114.254.32.36:18888/rtp/239.3.1.173:8001$北京市联通
CCTV5+,http://49.232.181.26:6000/rtp/225.1.8.20:8004$北京市电信
CCTV5+,http://114.254.32.36:18888/rtp/239.3.1.130:8004$北京市联通
CCTV6,http://49.232.181.26:6000/rtp/225.1.8.84:8000$北京市电信
CCTV6,http://114.254.32.36:18888/rtp/239.3.1.174:8001$北京市联通
CCTV7,http://49.232.181.26:6000/rtp/225.1.8.7:8104$北京市电信
CCTV7,http://114.254.32.36:18888/rtp/239.3.1.61:8104$北京市联通
CCTV8,http://49.232.181.26:6000/rtp/225.1.8.85:8000$北京市电信
CCTV8,http://114.254.32.36:18888/rtp/239.3.1.175:8001$北京市联通
CCTV9,http://49.232.181.26:6000/rtp/225.1.8.9:8112$北京市电信
CCTV9,http://114.254.32.36:18888/rtp/239.3.1.62:8112$北京市联通
CCTV10,http://49.232.181.26:6000/rtp/225.1.8.10:8116$北京市电信
CCTV10,http://114.254.32.36:18888/rtp/239.3.1.63:8116$北京市联通
CCTV11,http://49.232.181.26:6000/rtp/225.1.8.73:8120$北京市电信
CCTV11,http://114.254.32.36:18888/rtp/239.3.1.152:8120$北京市联通
CCTV12,http://49.232.181.26:6000/rtp/225.1.8.12:8124$北京市电信
CCTV12,http://114.254.32.36:18888/rtp/239.3.1.64:8124$北京市联通
CCTV13,http://49.232.181.26:6000/rtp/225.1.8.168:8130$北京市电信
CCTV13,http://114.254.32.36:18888/rtp/239.3.1.124:8128$北京市联通
CCTV14,http://49.232.181.26:6000/rtp/225.1.8.14:8132$北京市电信
CCTV14,http://114.254.32.36:18888/rtp/239.3.1.65:8132$北京市联通
CCTV15,http://49.232.181.26:6000/rtp/225.1.8.74:8136$北京市电信
CCTV15,http://114.254.32.36:18888/rtp/239.3.1.153:8136$北京市联通
CCTV16,http://114.254.32.36:18888/rtp/239.3.1.184:8001$北京市联通
CCTV17,http://49.232.181.26:6000/rtp/225.1.8.17:8144$北京市电信
CCTV17,http://114.254.32.36:18888/rtp/239.3.1.151:8144$北京市联通
CGTN英语,http://49.232.181.26:6000/rtp/225.1.8.116:8056$北京市电信
CGTN英语,http://114.254.32.36:18888/rtp/239.3.1.215:4220$北京市联通
CGTN纪录,http://114.254.32.36:18888/rtp/239.3.1.216:4220$北京市联通
CGTN西班牙语,http://114.254.32.36:18888/rtp/239.3.1.217:4220$北京市联通
CGTN法语,http://114.254.32.36:18888/rtp/239.3.1.218:4220$北京市联通
CGTN阿拉伯语,http://114.254.32.36:18888/rtp/239.3.1.219:4220$北京市联通
CGTN俄语,http://114.254.32.36:18888/rtp/239.3.1.220:4220$北京市联通
中国交通,http://114.254.32.36:18888/rtp/239.3.1.188:8001$北京市联通
CETV1,http://49.232.181.26:6000/udp/225.1.8.32:8152$北京市电信
CETV1,http://114.254.32.36:18888/rtp/239.3.1.57:8152$北京市联通
CETV2,http://49.232.181.26:6000/rtp/225.1.8.193:4120$北京市电信
CETV2,http://114.254.32.36:18888/rtp/239.3.1.54:4120$北京市联通
CETV4,http://49.232.181.26:6000/rtp/225.1.8.195:4120$北京市电信
CETV4,http://114.254.32.36:18888/rtp/239.3.1.56:4120$北京市联通
卫视频道,#genre#
重温经典,http://49.232.181.26:6000/rtp/225.1.8.39:8002$北京市电信
湖南卫视,http://49.232.181.26:6000/udp/225.1.8.41:8012$北京市电信
湖南卫视,http://114.254.32.36:18888/rtp/239.3.1.132:8012$北京市联通
浙江卫视,http://49.232.181.26:6000/udp/225.1.8.46:8036$北京市电信
浙江卫视,http://114.254.32.36:18888/rtp/239.3.1.137:8036$北京市联通
东方卫视,http://49.232.181.26:6000/udp/225.1.8.45:8032$北京市电信
东方卫视,http://114.254.32.36:18888/rtp/239.3.1.136:8032$北京市联通
北京卫视,http://49.232.181.26:6000/rtp/225.1.8.21:8002$北京市电信
北京卫视,http://114.254.32.36:18888/rtp/239.3.1.241:8000$北京市联通
北京卫视4K超高清,http://49.232.181.26:6000/udp/225.1.8.120:8002$北京市电信
北京卫视4K超高清,http://49.232.181.26:6000/rtp/225.1.8.128:8002$北京市电信
江苏卫视,http://49.232.181.26:6000/udp/225.1.8.44:8028$北京市电信
江苏卫视,http://114.254.32.36:18888/rtp/239.3.1.135:8028$北京市联通
安徽卫视,http://49.232.181.26:6000/udp/225.1.8.52:8064$北京市电信
安徽卫视,http://114.254.32.36:18888/rtp/239.3.1.211:8064$北京市联通
