央视频道,#genre#
CCTV-1综合,http://123.179.63.66:4022/rtp/239.29.0.113:5000$内蒙古电信
CCTV-2财经,http://123.179.63.66:4022/rtp/239.29.0.116:5000$内蒙古电信
CCTV-3综艺,http://123.179.63.66:4022/rtp/239.29.1.133:5000$内蒙古电信
CCTV-4中文国际,http://123.179.63.66:4022/rtp/239.29.0.87:5000$内蒙古电信
CCTV-5体育,http://123.179.63.66:4022/rtp/239.29.1.134:5000$内蒙古电信
CCTV-5+体育赛事,http://123.179.63.66:4022/rtp/239.29.1.10:5001$内蒙古电信
CCTV-6电影,http://123.179.63.66:4022/rtp/239.29.1.135:5000$内蒙古电信
CCTV-7国防军事,http://123.179.63.66:4022/rtp/239.29.0.117:5000$内蒙古电信
CCTV-8电视剧,http://123.179.63.66:4022/rtp/239.29.1.136:5000$内蒙古电信
CCTV-9纪录,http://123.179.63.66:4022/rtp/239.29.0.118:5000$内蒙古电信
CCTV-10科教,http://123.179.63.66:4022/rtp/239.29.0.119:5000$内蒙古电信
CCTV-11戏曲,http://123.179.63.66:4022/rtp/239.29.0.205:5000$内蒙古电信
CCTV-12社会与法,http://123.179.63.66:4022/rtp/239.29.0.120:5000$内蒙古电信
CCTV-13新闻,http://123.179.63.66:4022/rtp/239.29.1.123:5000$内蒙古电信
CCTV-14少儿,http://123.179.63.66:4022/rtp/239.29.0.121:5000$内蒙古电信
CCTV-15音乐,http://123.179.63.66:4022/rtp/239.29.0.206:5000$内蒙古电信
CCTV-16奥林匹克,http://123.179.63.66:4022/rtp/239.29.1.146:5000$内蒙古电信
CCTV-16奥林匹克4K,http://123.179.63.66:4022/rtp/239.29.1.149:5000$内蒙古电信
CCTV-17农业农村,http://123.179.63.66:4022/rtp/239.29.1.145:5000$内蒙古电信
CETV1,http://123.179.63.66:4022/rtp/239.29.0.95:5000$内蒙古电信
CETV2,http://123.179.63.66:4022/rtp/239.29.0.139:5000$内蒙古电信
CCTV-4欧洲,http://123.179.63.66:4022/rtp/239.29.1.144:5000$内蒙古电信
CCTV-4美洲,http://123.179.63.66:4022/rtp/239.29.1.142:5000$内蒙古电信
CGTN英语,http://123.179.63.66:4022/rtp/239.29.1.143:5000$内蒙古电信
IPTV5体育,http://123.179.63.66:4022/rtp/239.29.1.10:5001$内蒙古电信
卫视频道,#genre#
内蒙古卫视,http://123.179.63.66:4022/rtp/239.29.0.2:5000$内蒙古电信
北京卫视,http://123.179.63.66:4022/rtp/239.29.0.108:5000$内蒙古电信
天津卫视,http://123.179.63.66:4022/rtp/239.29.0.98:5000$内蒙古电信
湖南卫视,http://123.179.63.66:4022/rtp/239.29.0.90:5000$内蒙古电信
湖北卫视,http://123.179.63.66:4022/rtp/239.29.0.107:5000$内蒙古电信
东方卫视,http://123.179.63.66:4022/rtp/239.29.0.97:5000$内蒙古电信
江苏卫视,http://123.179.63.66:4022/rtp/239.29.0.102:5000$内蒙古电信
浙江卫视,http://123.179.63.66:4022/rtp/239.29.0.96:5000$内蒙古电信
山东卫视,http://123.179.63.66:4022/rtp/239.29.0.106:5000$内蒙古电信
安徽卫视,http://123.179.63.66:4022/rtp/239.29.0.81:5000$内蒙古电信
东南卫视,http://123.179.63.66:4022/rtp/239.29.0.103:5000$内蒙古电信
广东卫视,http://123.179.63.66:4022/rtp/239.29.0.123:5000$内蒙古电信
辽宁卫视,http://123.179.63.66:4022/rtp/239.29.0.109:5000$内蒙古电信
吉林卫视,http://123.179.63.66:4022/rtp/239.29.1.125:5000$内蒙古电信
