☘️河北省,#genre#
九屏直播频道,http://106.116.241.206:9999/rtp/239.254.200.248:6000$河北电信
河北经济生活,http://106.116.241.206:9999/rtp/239.254.200.18:6000$河北电信
河北影视剧频道,http://106.116.241.206:9999/rtp/239.254.200.20:6000$河北电信
河北少儿科教,http://106.116.241.206:9999/rtp/239.254.200.21:6000$河北电信
河北文旅公共,http://106.116.241.206:9999/rtp/239.254.200.22:6000$河北电信
河北农民,http://106.116.241.206:9999/rtp/239.254.200.23:6000$河北电信
睛彩河北,http://106.116.241.206:9999/rtp/239.254.200.27:6000$河北电信
河北杂技频道,http://106.116.241.206:9999/rtp/239.254.201.139:7203$河北电信
河北三佳购物,http://106.116.241.206:9999/rtp/239.254.200.143:6000$河北电信
羽毛球专区,http://106.116.241.206:9999/rtp/239.254.201.214:7264$河北电信
中式八球国际公开赛,http://106.116.241.206:9999/rtp/239.254.200.187:6000$河北电信
石家庄文化娱乐,http://106.116.241.206:9999/rtp/239.254.200.29:6000$河北电信
石家庄城市服务,http://106.116.241.206:9999/rtp/239.254.200.30:6000$河北电信
承德旅游文化,http://106.116.241.206:9999/rtp/239.254.200.33:6000$河北电信
秦皇岛公共频道,http://106.116.241.206:9999/rtp/239.254.200.40:6000$河北电信
秦皇岛影视,http://106.116.241.206:9999/rtp/239.254.200.41:6000$河北电信
唐山生活服务,http://106.116.241.206:9999/rtp/239.254.200.167:6000$河北电信
唐山影视频道,http://106.116.241.206:9999/rtp/239.254.200.168:6000$河北电信
唐山公共频道,http://106.116.241.206:9999/rtp/239.254.200.169:6000$河北电信
廊坊生活频道,http://106.116.241.206:9999/rtp/239.254.200.184:6000$河北电信
保定公共频道,http://106.116.241.206:9999/rtp/239.254.200.145:6000$河北电信
保定生活健康,http://106.116.241.206:9999/rtp/239.254.200.146:6000$河北电信
衡水经济科教,http://106.116.241.206:9999/rtp/239.254.200.149:6000$河北电信
邢台综合频道,http://106.116.241.206:9999/rtp/239.254.200.150:6000$河北电信
