☘️河北省,#genre#
九屏直播频道,http://60.4.30.177:8077/rtp/239.253.92.203:6150$河北联通
九屏直播频道,http://121.29.215.105:2083/rtp/239.253.92.203:6150$河北联通
河北经济生活,http://60.4.30.177:8077/rtp/239.253.92.171:6001$河北联通
河北经济生活,http://121.29.215.105:2083/rtp/239.253.92.171:6001$河北联通
河北影视剧频道,http://60.4.30.177:8077/rtp/239.253.92.173:6003$河北联通
河北影视剧频道,http://121.29.215.105:2083/rtp/239.253.92.173:6003$河北联通
河北少儿科教,http://60.4.30.177:8077/rtp/239.253.92.174:6004$河北联通
河北少儿科教,http://121.29.215.105:2083/rtp/239.253.92.174:6004$河北联通
河北文旅公共,http://60.4.30.177:8077/rtp/239.253.92.175:6005$河北联通
河北文旅公共,http://121.29.215.105:2083/rtp/239.253.92.175:6005$河北联通
河北三农频道,http://60.4.30.177:8077/rtp/239.253.92.176:6006$河北联通
河北三农频道,http://121.29.215.105:2083/rtp/239.253.92.176:6006$河北联通
睛彩河北,http://60.4.30.177:8077/rtp/239.253.92.104:6221$河北联通
睛彩河北,http://121.29.215.105:2083/rtp/239.253.92.104:6221$河北联通
石家庄文化娱乐,http://60.4.30.177:8077/rtp/239.253.92.93:8120$河北联通
石家庄文化娱乐,http://121.29.215.105:2083/rtp/239.253.92.93:8120$河北联通
石家庄城市服务,http://60.4.30.177:8077/rtp/239.253.92.94:8121$河北联通
石家庄城市服务,http://121.29.215.105:2083/rtp/239.253.92.94:8121$河北联通
承德旅游文化,http://60.4.30.177:8077/rtp/239.253.92.223:8113$河北联通
承德旅游文化,http://121.29.215.105:2083/rtp/239.253.92.223:8113$河北联通
秦皇岛公共频道,http://60.4.30.177:8077/rtp/239.253.92.53:6022$河北联通
秦皇岛公共频道,http://121.29.215.105:2083/rtp/239.253.92.53:6022$河北联通
唐山生活服务,http://60.4.30.177:8077/rtp/239.253.92.126:6026$河北联通
唐山生活服务,http://121.29.215.105:2083/rtp/239.253.92.126:6026$河北联通
唐山影视频道,http://60.4.30.177:8077/rtp/239.253.92.127:6027$河北联通
唐山影视频道,http://121.29.215.105:2083/rtp/239.253.92.127:6027$河北联通
唐山公共频道,http://60.4.30.177:8077/rtp/239.253.92.128:6028$河北联通
唐山公共频道,http://121.29.215.105:2083/rtp/239.253.92.128:6028$河北联通
廊坊生活频道,http://60.4.30.177:8077/rtp/239.253.92.166:6037$河北联通
廊坊生活频道,http://121.29.215.105:2083/rtp/239.253.92.166:6037$河北联通
保定公共频道,http://60.4.30.177:8077/rtp/239.253.93.4:6157$河北联通
保定公共频道,http://121.29.215.105:2083/rtp/239.253.93.4:6157$河北联通
保定生活健康,http://60.4.30.177:8077/rtp/239.253.93.5:6158$河北联通
保定生活健康,http://121.29.215.105:2083/rtp/239.253.93.5:6158$河北联通
衡水经济科教,http://60.4.30.177:8077/rtp/239.253.93.7:6160$河北联通
衡水经济科教,http://121.29.215.105:2083/rtp/239.253.93.7:6160$河北联通
邢台综合频道,http://60.4.30.177:8077/rtp/239.253.93.8:6161$河北联通
邢台综合频道,http://121.29.215.105:2083/rtp/239.253.93.8:6161$河北联通
邢台城市生活,http://60.4.30.177:8077/rtp/239.253.93.10:6163$河北联通
邢台城市生活,http://121.29.215.105:2083/rtp/239.253.93.10:6163$河北联通
