卫视频道,#genre#
河南卫视,http://219.156.95.119:4022/rtp/225.1.4.98:1127$河南联通
湖南卫视,http://219.156.95.119:4022/rtp/225.1.4.82:1111$河南联通
江苏卫视,http://219.156.95.119:4022/rtp/225.1.4.83:1112$河南联通
浙江卫视,http://219.156.95.119:4022/rtp/225.1.4.84:1113$河南联通
北京卫视,http://219.156.95.119:4022/rtp/225.1.4.81:1110$河南联通
东方卫视,http://219.156.95.119:4022/rtp/225.1.4.85:1114$河南联通
天津卫视,http://219.156.95.119:4022/rtp/225.1.4.86:1115$河南联通
山东卫视,http://219.156.95.119:4022/rtp/225.1.4.88:1117$河南联通
安徽卫视,http://219.156.95.119:4022/rtp/225.1.4.87:1116$河南联通
深圳卫视,http://219.156.95.119:4022/rtp/225.1.4.90:1119$河南联通
江西卫视,http://219.156.95.119:4022/rtp/225.1.4.139:1305$河南联通
湖北卫视,http://219.156.95.119:4022/rtp/225.1.4.89:1118$河南联通
四川卫视,http://219.156.95.119:4022/rtp/225.1.4.151:1306$河南联通
黑龙江卫视,http://219.156.95.119:4022/rtp/225.1.4.91:1120$河南联通
云南卫视,http://219.156.95.119:4022/rtp/225.1.4.152:1307$河南联通
贵州卫视,http://219.156.95.119:4022/rtp/225.1.4.122:1302$河南联通
辽宁卫视,http://219.156.95.119:4022/rtp/225.1.4.167:1208$河南联通
东南卫视,http://219.156.95.119:4022/rtp/225.1.4.228:1274$河南联通
海南卫视,http://219.156.95.119:4022/rtp/225.1.4.195:1310$河南联通
重庆卫视,http://219.156.95.119:4022/rtp/225.1.4.157:1308$河南联通
广东卫视,http://219.156.95.119:4022/rtp/225.1.4.166:1207$河南联通
广西卫视,http://219.156.95.119:4022/rtp/225.1.4.31:1060$河南联通
河北卫视,http://219.156.95.119:4022/rtp/225.1.4.123:1304$河南联通
吉林卫视,http://219.156.95.119:4022/rtp/225.1.4.174:1309$河南联通
山西卫视,http://219.156.95.119:4022/rtp/225.1.4.38:1067$河南联通
陕西卫视,http://219.156.95.119:4022/rtp/225.1.4.39:1068$河南联通
甘肃卫视,http://219.156.95.119:4022/rtp/225.1.4.42:1071$河南联通
青海卫视,http://219.156.95.119:4022/rtp/225.1.4.44:1073$河南联通
内蒙古卫视,http://219.156.95.119:4022/rtp/225.1.4.45:1074$河南联通
宁夏卫视,http://219.156.95.119:4022/rtp/225.1.4.43:1072$河南联通
西藏卫视,http://219.156.95.119:4022/rtp/225.1.4.46:1075$河南联通
厦门卫视,http://219.156.95.119:4022/rtp/225.1.4.95:1124$河南联通
新疆卫视,http://219.156.95.119:4022/rtp/225.1.4.47:1076$河南联通
三沙卫视,http://219.156.95.119:4022/rtp/225.1.4.234:1280$河南联通
兵团卫视,http://219.156.95.119:4022/rtp/225.1.4.97:1126$河南联通
山东教育卫视,http://219.156.95.119:4022/rtp/225.1.4.164:1205$河南联通
☘️上海市,#genre#
河南都市频道,http://219.156.95.119:4022/rtp/225.1.4.52:1081$河南联通
☘️河南省,#genre#
河南民生频道,http://219.156.95.119:4022/rtp/225.1.4.53:1082$河南联通
河南法治频道,http://219.156.95.119:4022/rtp/225.1.4.54:1083$河南联通
河南电视剧频道,http://219.156.95.119:4022/rtp/225.1.4.55:1084$河南联通
河南新闻频道,http://219.156.95.119:4022/rtp/225.1.4.56:1085$河南联通
河南公共频道,http://219.156.95.119:4022/rtp/225.1.4.58:1087$河南联通
河南乡村频道,http://219.156.95.119:4022/rtp/225.1.4.120:1149$河南联通
河南收藏天下,http://219.156.95.119:4022/rtp/225.1.4.100:1129$河南联通
河南戏曲频道,http://219.156.95.119:4022/rtp/225.1.4.99:1128$河南联通
河南中华功夫,http://219.156.95.119:4022/rtp/225.1.4.101:1130$河南联通
河南移动电视,http://219.156.95.119:4022/rtp/225.1.5.40:1350$河南联通
河南欢腾购物,http://219.156.95.119:4022/rtp/225.1.4.57:1086$河南联通
河南IPTV导视,http://219.156.95.119:4022/rtp/225.1.4.194:1244$河南联通
央视频道,#genre#
CCTV-1综合,http://219.156.95.119:4022/rtp/225.1.4.73:1102$河南联通
CCTV-2财经,http://219.156.95.119:4022/rtp/225.1.4.74:1103$河南联通
CCTV-3综艺,http://219.156.95.119:4022/rtp/225.1.4.158:1194$河南联通
CCTV-4中文国际,http://219.156.95.119:4022/rtp/225.1.5.30:1333$河南联通
CCTV-5体育,http://219.156.95.119:4022/rtp/225.1.4.159:1195$河南联通
CCTV-5+体育赛事,http://219.156.95.119:4022/rtp/225.1.4.75:1104$河南联通
CCTV-6电影,http://219.156.95.119:4022/rtp/225.1.4.160:1196$河南联通
CCTV-7国防军事,http://219.156.95.119:4022/rtp/225.1.4.76:1105$河南联通
CCTV-8电视剧,http://219.156.95.119:4022/rtp/225.1.4.161:1197$河南联通
CCTV-9纪录,http://219.156.95.119:4022/rtp/225.1.4.77:1106$河南联通
CCTV-10科教,http://219.156.95.119:4022/rtp/225.1.4.78:1107$河南联通
CCTV-11戏曲,http://219.156.95.119:4022/rtp/225.1.4.215:1268$河南联通
CCTV-12社会与法,http://219.156.95.119:4022/rtp/225.1.4.79:1108$河南联通
CCTV-13新闻,http://219.156.95.119:4022/rtp/225.1.4.113:1293$河南联通
CCTV-14少儿,http://219.156.95.119:4022/rtp/225.1.4.80:1109$河南联通
CCTV-15音乐,http://219.156.95.119:4022/rtp/225.1.4.216:1269$河南联通
CCTV-17农业农村,http://219.156.95.119:4022/rtp/225.1.4.226:2506$河南联通
CETV1,http://219.156.95.119:4022/rtp/225.1.4.173:1712$河南联通
CETV2,http://219.156.95.119:4022/rtp/225.1.4.165:1206$河南联通
CETV4,http://219.156.95.119:4022/rtp/225.1.4.171:1710$河南联通
CCTV-4欧洲,http://219.156.95.119:4022/rtp/225.1.5.31:1342$河南联通
CCTV-4美洲,http://219.156.95.119:4022/rtp/225.1.5.32:1343$河南联通
CGTN英语,http://219.156.95.119:4022/rtp/225.1.5.34:1344$河南联通
CGTN纪录,http://219.156.95.119:4022/rtp/225.1.5.35:1345$河南联通
CGTN西班牙语,http://219.156.95.119:4022/rtp/225.1.5.36:1346$河南联通
CGTN法语,http://219.156.95.119:4022/rtp/225.1.5.37:1347$河南联通
CGTN阿拉伯语,http://219.156.95.119:4022/rtp/225.1.5.38:1348$河南联通
CGTN俄语,http://219.156.95.119:4022/rtp/225.1.5.39:1349$河南联通
数字频道,#genre#
CHC家庭影院,http://219.156.95.119:4022/rtp/225.1.4.209:1262$河南联通
CHC动作电影,http://219.156.95.119:4022/rtp/225.1.4.208:1261$河南联通
CHC影迷电影,http://219.156.95.119:4022/rtp/225.1.4.207:1260$河南联通
金鹰卡通,http://219.156.95.119:4022/rtp/225.1.4.49:1078$河南联通
金鹰纪实,http://219.156.95.119:4022/rtp/225.1.4.172:1711$河南联通
嘉佳卡通,http://219.156.95.119:4022/rtp/225.1.4.92:1121$河南联通
卡酷少儿,http://219.156.95.119:4022/rtp/225.1.4.48:1077$河南联通
新动漫,http://219.156.95.119:4022/rtp/225.1.4.212:1265$河南联通
IPTV相声小品,http://219.156.95.119:4022/rtp/225.1.4.186:1235$河南联通
IPTV音乐,http://219.156.95.119:4022/rtp/225.1.4.184:1224$河南联通
IPTV生活,http://219.156.95.119:4022/rtp/225.1.4.176:1225$河南联通
IPTV好学生,http://219.156.95.119:4022/rtp/225.1.4.177:1226$河南联通
IPTV国学,http://219.156.95.119:4022/rtp/225.1.4.178:1227$河南联通
IPTV早教,http://219.156.95.119:4022/rtp/225.1.4.179:1228$河南联通
IPTV军事,http://219.156.95.119:4022/rtp/225.1.4.181:1230$河南联通
IPTV美妆,http://219.156.95.119:4022/rtp/225.1.4.182:1231$河南联通
IPTV地理,http://219.156.95.119:4022/rtp/225.1.4.183:1232$河南联通
IPTV足球,http://219.156.95.119:4022/rtp/225.1.4.200:1250$河南联通
IPTV野外,http://219.156.95.119:4022/rtp/225.1.4.187:1236$河南联通
IPTV法治,http://219.156.95.119:4022/rtp/225.1.4.188:1237$河南联通
IPTV综艺,http://219.156.95.119:4022/rtp/225.1.4.204:1252$河南联通
IPTV体育,http://219.156.95.119:4022/rtp/225.1.4.168:1220$河南联通
IPTV收视指南,http://219.156.95.119:4022/rtp/225.1.4.50:1079$河南联通
华数经典电影,http://219.156.95.119:4022/rtp/225.1.4.175:1233$河南联通
华数精选,http://219.156.95.119:4022/rtp/225.1.4.253:1299$河南联通
华数谍战剧场,http://219.156.95.119:4022/rtp/225.1.4.185:1240$河南联通
华数少儿动画,http://219.156.95.119:4022/rtp/225.1.4.189:1238$河南联通
华数热播剧场,http://219.156.95.119:4022/rtp/225.1.4.190:1239$河南联通
华数魅力时尚,http://219.156.95.119:4022/rtp/225.1.4.205:1253$河南联通
华数爱电影,http://219.156.95.119:4022/rtp/225.1.4.6:1035$河南联通
爱大剧,http://219.156.95.119:4022/rtp/225.1.4.8:1037$河南联通
国学频道,http://219.156.95.119:4022/rtp/225.1.4.196:1311$河南联通
4K频道,#genre#
爱上-4K,http://219.156.95.119:4022/rtp/225.1.4.162:1204$河南联通
