央视频道,#genre#
CCTV1,http://115.211.1.213:8001/udp/233.50.200.130:5140$浙江电信
CCTV2,http://115.211.1.213:8001/udp/233.50.200.25:5140$浙江电信
CCTV3,http://115.211.1.213:8001/udp/233.50.201.196:5140$浙江电信
CCTV4,http://115.211.1.213:8001/udp/233.50.200.101:5140$浙江电信
CCTV5,http://115.211.1.213:8001/udp/233.50.201.197:5140$浙江电信
CCTV5+,http://115.211.1.213:8001/udp/233.50.201.220:5140$浙江电信
CCTV6,http://115.211.1.213:8001/udp/233.50.201.198:5140$浙江电信
CCTV7,http://115.211.1.213:8001/udp/233.50.200.24:5140$浙江电信
CCTV8,http://115.211.1.213:8001/udp/233.50.201.199:5140$浙江电信
CCTV9,http://115.211.1.213:8001/udp/233.50.201.121:5140$浙江电信
CCTV10,http://115.211.1.213:8001/udp/233.50.201.122:5140$浙江电信
CCTV12,http://115.211.1.213:8001/udp/233.50.201.123:5140$浙江电信
CCTV13,http://115.211.1.213:8001/udp/233.50.201.246:5140$浙江电信
CCTV14,http://115.211.1.213:8001/udp/233.50.201.124:5140$浙江电信
CCTV16,http://115.211.1.213:8001/udp/233.50.201.192:5140$浙江电信
CCTV16_4K,http://115.211.1.213:8001/udp/233.50.201.63:5140$浙江电信
CCTV17,http://115.211.1.213:8001/udp/233.50.200.113:5140$浙江电信
CETV4,http://115.211.1.213:8001/udp/233.50.200.162:5140$浙江电信
卫视频道,#genre#
浙江卫视,http://115.211.1.213:8001/udp/233.50.201.100:5140$浙江电信
湖南卫视,http://115.211.1.213:8001/udp/233.50.201.103:5140$浙江电信
江苏卫视,http://115.211.1.213:8001/udp/233.50.201.106:5140$浙江电信
东方卫视,http://115.211.1.213:8001/udp/233.50.201.125:5140$浙江电信
湖北卫视,http://115.211.1.213:8001/udp/233.50.201.114:5140$浙江电信
广东卫视,http://115.211.1.213:8001/udp/233.50.201.102:5140$浙江电信
北京卫视,http://115.211.1.213:8001/udp/233.50.201.107:5140$浙江电信
深圳卫视,http://115.211.1.213:8001/udp/233.50.201.101:5140$浙江电信
天津卫视,http://115.211.1.213:8001/udp/233.50.201.104:5140$浙江电信
河北卫视,http://115.211.1.213:8001/udp/233.50.201.140:5140$浙江电信
安徽卫视,http://115.211.1.213:8001/udp/233.50.201.113:5140$浙江电信
重庆卫视,http://115.211.1.213:8001/udp/233.50.200.114:5140$浙江电信
云南卫视,http://115.211.1.213:8001/udp/233.50.200.115:5140$浙江电信
四川卫视,http://115.211.1.213:8001/udp/233.50.201.139:5140$浙江电信
江西卫视,http://115.211.1.213:8001/udp/233.50.201.145:5140$浙江电信
黑龙江卫视,http://115.211.1.213:8001/udp/233.50.201.115:5140$浙江电信
山东卫视,http://115.211.1.213:8001/udp/233.50.201.105:5140$浙江电信
辽宁卫视,http://115.211.1.213:8001/udp/233.50.201.141:5140$浙江电信
贵州卫视,http://115.211.1.213:8001/udp/233.50.201.142:5140$浙江电信
河南卫视,http://115.211.1.213:8001/udp/233.50.201.144:5140$浙江电信
东南卫视,http://115.211.1.213:8001/udp/233.50.201.146:5140$浙江电信
凤凰中文,http://115.211.1.213:8001/udp/233.50.200.191:5140$浙江电信
凤凰资讯,http://115.211.1.213:8001/udp/233.50.200.192:5140$浙江电信
☘️浙江省,#genre#
中国蓝直播,http://115.211.1.213:8001/udp/233.50.201.108:5140$浙江电信
浙江钱江,http://115.211.1.213:8001/udp/233.50.201.132:5140$浙江电信
浙江经济生活,http://115.211.1.213:8001/udp/233.50.201.133:5140$浙江电信
浙江教育,http://115.211.1.213:8001/udp/233.50.201.134:5140$浙江电信
浙江民生休闲,http://115.211.1.213:8001/udp/233.50.201.136:5140$浙江电信
浙江新闻,http://115.211.1.213:8001/udp/233.50.201.137:5140$浙江电信
浙江少儿频道,http://115.211.1.213:8001/udp/233.50.201.138:5140$浙江电信
浙江之江纪录,http://115.211.1.213:8001/udp/233.50.202.25:5140$浙江电信
杭州综合,http://115.211.1.213:8001/udp/233.50.201.173:5140$浙江电信
杭州西湖明珠,http://115.211.1.213:8001/udp/233.50.201.174:5140$浙江电信
杭州生活,http://115.211.1.213:8001/udp/233.50.201.175:5140$浙江电信
杭州影视,http://115.211.1.213:8001/udp/233.50.201.176:5140$浙江电信
杭州青少,http://115.211.1.213:8001/udp/233.50.201.177:5140$浙江电信
杭州导视,http://115.211.1.213:8001/udp/233.50.201.182:5140$浙江电信
宁波生活频道,http://115.211.1.213:8001/udp/233.50.201.178:5140$浙江电信
宁波文体频道,http://115.211.1.213:8001/udp/233.50.201.179:5140$浙江电信
宁波影视频道,http://115.211.1.213:8001/udp/233.50.201.180:5140$浙江电信
衢州公共频道,http://115.211.1.213:8001/udp/233.50.202.12:5140$浙江电信
湖州新闻,http://115.211.1.213:8001/udp/233.50.201.158:5140$浙江电信
金华新闻,http://115.211.1.213:8001/udp/233.50.201.161:5140$浙江电信
丽水新闻,http://115.211.1.213:8001/udp/233.50.201.162:5140$浙江电信
嘉兴新闻,http://115.211.1.213:8001/udp/233.50.201.163:5140$浙江电信
桐乡新闻,http://115.211.1.213:8001/udp/233.50.201.169:5140$浙江电信
☘️上海市,#genre#
宁波新闻综合,http://115.211.1.213:8001/udp/233.50.201.168:5140$浙江电信
温州新闻综合,http://115.211.1.213:8001/udp/233.50.201.87:5140$浙江电信
绍兴新闻综合,http://115.211.1.213:8001/udp/233.50.201.156:5140$浙江电信
衢州新闻综合,http://115.211.1.213:8001/udp/233.50.202.11:5140$浙江电信
第一财经,http://115.211.1.213:8001/udp/233.50.200.125:5140$浙江电信
数字频道,#genre#
都市剧场,http://115.211.1.213:8001/udp/233.50.201.190:5140$浙江电信
欢笑剧场,http://115.211.1.213:8001/udp/233.50.201.189:5140$浙江电信
动漫秀场,http://115.211.1.213:8001/udp/233.50.201.184:5140$浙江电信
生活时尚,http://115.211.1.213:8001/udp/233.50.201.187:5140$浙江电信
法治天地,http://115.211.1.213:8001/udp/233.50.201.191:5140$浙江电信
乐游纪实,http://115.211.1.213:8001/udp/233.50.201.185:5140$浙江电信
金色学堂,http://115.211.1.213:8001/udp/233.50.201.186:5140$浙江电信
快乐垂钓,http://115.211.1.213:8001/udp/233.50.201.109:5140$浙江电信
茶频道,http://115.211.1.213:8001/udp/233.50.201.188:5140$浙江电信
其它频道,#genre#
游戏风云,http://115.211.1.213:8001/udp/233.50.201.183:5140$浙江电信
晴彩竞技,http://115.211.1.213:8001/udp/233.50.202.26:5140$浙江电信
晴彩篮球,http://115.211.1.213:8001/udp/233.50.202.27:5140$浙江电信
晴彩羽毛球,http://115.211.1.213:8001/udp/233.50.202.28:5140$浙江电信
晴彩广场舞,http://115.211.1.213:8001/udp/233.50.202.29:5140$浙江电信
轮播频道1,http://115.211.1.213:8001/udp/233.50.201.116:5140$浙江电信
轮播频道2,http://115.211.1.213:8001/udp/233.50.201.117:5140$浙江电信
