卫视频道,#genre#
东南卫视,http://112.109.206.180:9999/rtp/239.255.40.149:8208$福建联通
海峡卫视,http://112.109.206.180:9999/rtp/239.255.40.157:8208$福建联通
厦门卫视,http://112.109.206.180:9999/rtp/239.255.40.28:8208$福建联通
三沙卫视,http://112.109.206.180:9999/rtp/239.255.40.82:8208$福建联通
广东卫视,http://112.109.206.180:9999/rtp/239.255.40.52:8208$福建联通
浙江卫视,http://112.109.206.180:9999/rtp/239.255.40.49:8208$福建联通
湖南卫视,http://112.109.206.180:9999/rtp/239.255.40.43:8208$福建联通
北京卫视,http://112.109.206.180:9999/rtp/239.255.40.46:8208$福建联通
湖北卫视,http://112.109.206.180:9999/rtp/239.255.40.47:8208$福建联通
黑龙江卫视,http://112.109.206.180:9999/rtp/239.255.40.44:8208$福建联通
安徽卫视,http://112.109.206.180:9999/rtp/239.255.40.53:8208$福建联通
重庆卫视,http://112.109.206.180:9999/rtp/239.255.40.21:8208$福建联通
东方卫视,http://112.109.206.180:9999/rtp/239.255.40.50:8208$福建联通
甘肃卫视,http://112.109.206.180:9999/rtp/239.255.40.16:8208$福建联通
广西卫视,http://112.109.206.180:9999/rtp/239.255.40.22:8208$福建联通
贵州卫视,http://112.109.206.180:9999/rtp/239.255.40.200:8208$福建联通
海南卫视,http://112.109.206.180:9999/rtp/239.255.40.23:8208$福建联通
河北卫视,http://112.109.206.180:9999/rtp/239.255.40.20:8208$福建联通
河南卫视,http://112.109.206.180:9999/rtp/239.255.40.9:8208$福建联通
吉林卫视,http://112.109.206.180:9999/rtp/239.255.40.17:8208$福建联通
江苏卫视,http://112.109.206.180:9999/rtp/239.255.40.42:8208$福建联通
江西卫视,http://112.109.206.180:9999/rtp/239.255.40.18:8208$福建联通
辽宁卫视,http://112.109.206.180:9999/rtp/239.255.40.54:8208$福建联通
山东卫视,http://112.109.206.180:9999/rtp/239.255.40.51:8208$福建联通
四川卫视,http://112.109.206.180:9999/rtp/239.255.40.19:8208$福建联通
深圳卫视,http://112.109.206.180:9999/rtp/239.255.40.199:8208$福建联通
天津卫视,http://112.109.206.180:9999/rtp/239.255.40.48:8208$福建联通
云南卫视,http://112.109.206.180:9999/rtp/239.255.40.6:8208$福建联通
青海卫视,http://112.109.206.180:9999/rtp/239.255.40.15:8208$福建联通
山西卫视,http://112.109.206.180:9999/rtp/239.255.40.13:8208$福建联通
陕西卫视,http://112.109.206.180:9999/rtp/239.255.40.10:8208$福建联通
