央视频道,#genre#
CCTV1,http://113.251.74.222:8012/rtp/235.254.198.51:1480$重庆电信
CCTV2,http://113.251.74.222:8012/rtp/235.254.198.52:1484$重庆电信
CCTV3,http://113.251.74.222:8012/rtp/235.254.198.53:1488$重庆电信
CCTV4,http://113.251.74.222:8012/rtp/235.254.198.183:7980$重庆电信
CCTV5,http://113.251.74.222:8012/rtp/235.254.198.54:1492$重庆电信
CCTV5+,http://113.251.74.222:8012/rtp/235.254.198.122:1764$重庆电信
CCTV6,http://113.251.74.222:8012/rtp/235.254.198.55:1496$重庆电信
CCTV7,http://113.251.74.222:8012/rtp/235.254.198.56:1500$重庆电信
CCTV8,http://113.251.74.222:8012/rtp/235.254.198.57:1504$重庆电信
CCTV9,http://113.251.74.222:8012/rtp/235.254.198.58:1508$重庆电信
CCTV10,http://113.251.74.222:8012/rtp/235.254.198.59:1512$重庆电信
CCTV11,http://113.251.74.222:8012/rtp/235.254.198.7:1304$重庆电信
CCTV12,http://113.251.74.222:8012/rtp/235.254.198.60:1516$重庆电信
CCTV13,http://113.251.74.222:8012/rtp/235.254.198.9:1312$重庆电信
CCTV14,http://113.251.74.222:8012/rtp/235.254.198.61:1520$重庆电信
CCTV15,http://113.251.74.222:8012/rtp/235.254.198.11:1320$重庆电信
风云剧场,http://113.251.74.222:8012/rtp/235.254.199.207:7980$重庆电信
风云音乐,http://113.251.74.222:8012/rtp/235.254.199.118:7980$重庆电信
第一剧场,http://113.251.74.222:8012/rtp/235.254.199.211:7980$重庆电信
怀旧剧场,http://113.251.74.222:8012/rtp/235.254.199.205:7980$重庆电信
兵器科技,http://113.251.74.222:8012/rtp/35.254.199.202:7980$重庆电信
世界地理,http://113.251.74.222:8012/rtp/235.254.199.194:7980$重庆电信
风云足球,http://113.251.74.222:8012/rtp/235.254.199.204:7980$重庆电信
央视台球,http://113.251.74.222:8012/rtp/235.254.199.193:7980$重庆电信
高尔夫网球,http://113.251.74.222:8012/rtp/235.254.199.192:7980$重庆电信
央视文化精品,http://113.251.74.222:8012/rtp/235.254.199.210:7980$重庆电信
女性时尚,http://113.251.74.222:8012/rtp/235.254.199.195:7980$重庆电信
电视指南,http://113.251.74.222:8012/rtp/235.254.199.189:7980$重庆电信
中国交通,http://113.251.74.222:8012/rtp/235.254.197.145:7980$重庆电信
CETV1,http://113.251.74.222:8012/rtp/235.254.199.196:7980$重庆电信
CETV4,http://113.251.74.222:8012/rtp/235.254.199.197:7980$重庆电信
CETV早期教育,http://113.251.74.222:8012/rtp/235.254.199.201:7980$重庆电信
IPTV5体育,http://113.251.74.222:8012/rtp/235.254.198.14:1332$重庆电信
其它频道,#genre#
书法频道,http://113.251.74.222:8012/rtp/235.254.199.199:7980$重庆电信
CGTN,http://113.251.74.222:8012/rtp/235.254.199.12:7980$重庆电信
重庆新闻,http://113.251.74.222:8012/rtp/235.254.196.199:7980$重庆电信
重庆影视剧,http://113.251.74.222:8012/rtp/235.254.198.180:7980$重庆电信
重庆少儿,http://113.251.74.222:8012/rtp/235.254.196.214:1128$重庆电信
重庆红叶,http://113.251.74.222:8012/rtp/235.254.196.215:1132$重庆电信
万州文旅,http://113.251.74.222:8012/rtp/235.254.199.200:7980$重庆电信
武术世界,http://113.251.74.222:8012/rtp/235.254.199.107:7980$重庆电信
文物宝库,http://113.251.74.222:8012/rtp/235.254.199.132:7980$重庆电信
卫视频道,#genre#
重庆卫视,http://113.251.74.222:8012/rtp/235.254.196.249:1268$重庆电信
江苏卫视,http://113.251.74.222:8012/rtp/235.254.198.64:1532$重庆电信
浙江卫视,http://113.251.74.222:8012/rtp/235.254.198.63:1528$重庆电信
东方卫视,http://113.251.74.222:8012/rtp/235.254.198.73:1568$重庆电信
深圳卫视,http://113.251.74.222:8012/rtp/235.254.198.71:1560$重庆电信
北京卫视,http://113.251.74.222:8012/rtp/235.254.198.66:1540$重庆电信
山东卫视,http://113.251.74.222:8012/rtp/235.254.198.69:1552$重庆电信
天津卫视,http://113.251.74.222:8012/rtp/235.254.198.67:1544$重庆电信
贵州卫视,http://113.251.74.222:8012/rtp/235.254.198.185:7980$重庆电信
黑龙江卫视,http://113.251.74.222:8012/rtp/235.254.198.70:1556$重庆电信
安徽卫视,http://113.251.74.222:8012/rtp/235.254.198.65:1536$重庆电信
湖北卫视,http://113.251.74.222:8012/rtp/235.254.198.72:1564$重庆电信
辽宁卫视,http://113.251.74.222:8012/rtp/235.254.198.68:1548$重庆电信
湖南卫视,http://113.251.74.222:8012/rtp/235.254.198.62:1524$重庆电信
广东卫视,http://113.251.74.222:8012/rtp/235.254.196.204:1088$重庆电信
河北卫视,http://113.251.74.222:8012/rtp/235.254.198.184:7980$重庆电信
四川卫视,http://113.251.74.222:8012/rtp/235.254.198.175:7980$重庆电信
云南卫视,http://113.251.74.222:8012/rtp/235.254.198.25:1376$重庆电信
广西卫视,http://113.251.74.222:8012/rtp/235.254.198.38:1428$重庆电信
