卫视频道,#genre#
陕西卫视,http://124.114.103.183:6789/rtp/239.111.205.35:5140$陕西电信
陕西农林卫视,http://124.114.103.183:6789/rtp/239.112.205.26:5140$陕西电信
东方卫视,http://124.114.103.183:6789/rtp/239.112.205.61:5140$陕西电信
湖南卫视,http://124.114.103.183:6789/rtp/239.112.205.62:5140$陕西电信
江苏卫视,http://124.114.103.183:6789/rtp/239.112.205.63:5140$陕西电信
浙江卫视,http://124.114.103.183:6789/rtp/239.112.205.64:5140$陕西电信
北京卫视,http://124.114.103.183:6789/rtp/239.112.205.65:5140$陕西电信
广东卫视,http://124.114.103.183:6789/rtp/239.112.205.66:5140$陕西电信
深圳卫视,http://124.114.103.183:6789/rtp/239.112.205.67:5140$陕西电信
黑龙江卫视,http://124.114.103.183:6789/rtp/239.112.205.68:5140$陕西电信
湖北卫视,http://124.114.103.183:6789/rtp/239.112.205.69:5140$陕西电信
山东卫视,http://124.114.103.183:6789/rtp/239.112.205.70:5140$陕西电信
四川卫视,http://124.114.103.183:6789/rtp/239.112.205.184:5140$陕西电信
安徽卫视,http://124.114.103.183:6789/rtp/239.112.205.72:5140$陕西电信
重庆卫视,http://124.114.103.183:6789/rtp/239.112.205.179:5140$陕西电信
天津卫视,http://124.114.103.183:6789/rtp/239.112.205.74:5140$陕西电信
东南卫视,http://124.114.103.183:6789/rtp/239.112.205.182:5140$陕西电信
河南卫视,http://124.114.103.183:6789/rtp/239.112.205.180:5140$陕西电信
江西卫视,http://124.114.103.183:6789/rtp/239.111.205.16:5140$陕西电信
吉林卫视,http://124.114.103.183:6789/rtp/239.112.205.183:5140$陕西电信
贵州卫视,http://124.114.103.183:6789/rtp/239.112.205.178:5140$陕西电信
辽宁卫视,http://124.114.103.183:6789/rtp/239.112.205.73:5140$陕西电信
河北卫视,http://124.114.103.183:6789/rtp/239.112.205.200:5140$陕西电信
云南卫视,http://124.114.103.183:6789/rtp/239.112.205.58:5140$陕西电信
山西卫视,http://124.114.103.183:6789/rtp/239.112.205.46:5140$陕西电信
甘肃卫视,http://124.114.103.183:6789/rtp/239.112.205.48:5140$陕西电信
宁夏卫视,http://124.114.103.183:6789/rtp/239.112.205.49:5140$陕西电信
海南卫视,http://124.114.103.183:6789/rtp/239.112.205.50:5140$陕西电信
广西卫视,http://124.114.103.183:6789/rtp/239.112.205.51:5140$陕西电信
青海卫视,http://124.114.103.183:6789/rtp/239.112.205.53:5140$陕西电信
西藏卫视,http://124.114.103.183:6789/rtp/239.112.205.54:5140$陕西电信
内蒙古卫视,http://124.114.103.183:6789/rtp/239.112.205.55:5140$陕西电信
新疆卫视,http://124.114.103.183:6789/rtp/239.112.205.56:5140$陕西电信
厦门卫视,http://124.114.103.183:6789/rtp/239.112.205.60:5140$陕西电信
兵团卫视,http://124.114.103.183:6789/rtp/239.112.205.198:5140$陕西电信
山东教育卫视,http://124.114.103.183:6789/rtp/239.109.205.91:8664$陕西电信
☘️陕西省,#genre#
陕西新闻资讯,http://124.114.103.183:6789/rtp/239.111.205.28:5140$陕西电信
陕西都市青春,http://124.114.103.183:6789/rtp/239.111.205.42:5140$陕西电信
陕西体育休闲,http://124.114.103.183:6789/rtp/239.111.205.36:5140$陕西电信
陕西西部电影,http://124.114.103.183:6789/rtp/239.111.205.41:5140$陕西电信
陕西秦腔频道,http://124.114.103.183:6789/rtp/239.112.205.22:5140$陕西电信
陕西银铃频道,http://124.114.103.183:6789/rtp/239.112.205.20:5140$陕西电信
西安商务资讯,http://124.114.103.183:6789/rtp/239.112.205.174:5140$陕西电信
西安戏剧影视,http://124.114.103.183:6789/rtp/239.112.205.175:5140$陕西电信
西安丝路频道,http://124.114.103.183:6789/rtp/239.112.205.176:5140$陕西电信
西安教育频道,http://124.114.103.183:6789/rtp/239.112.205.142:5140$陕西电信
西安乐购购物,http://124.114.103.183:6789/rtp/239.111.205.30:5140$陕西电信
曲艺大观,http://124.114.103.183:6789/rtp/239.111.205.31:5140$陕西电信
BesTV体育,http://124.114.103.183:6789/rtp/239.111.205.23:5140$陕西电信
☘️上海市,#genre#
西安新闻综合,http://124.114.103.183:6789/rtp/239.111.205.242:5140$陕西电信
西安都市频道,http://124.114.103.183:6789/rtp/239.111.205.243:5140$陕西电信
央视频道,#genre#
CCTV-1综艺,http://124.114.103.183:6789/rtp/239.112.205.59:5140$陕西电信
CCTV-2财经,http://124.114.103.183:6789/rtp/239.112.205.78:5140$陕西电信
CCTV-3综合,http://124.114.103.183:6789/rtp/239.112.205.221:5140$陕西电信
CCTV-4中文国际,http://124.114.103.183:6789/rtp/239.112.205.202:5140$陕西电信
CCTV-5体育,http://124.114.103.183:6789/rtp/239.112.205.222:5140$陕西电信
CCTV-5+体育赛事,http://124.114.103.183:6789/rtp/239.111.205.13:5140$陕西电信
CCTV-6电影,http://124.114.103.183:6789/rtp/239.112.205.223:5140$陕西电信
CCTV-7国防军事,http://124.114.103.183:6789/rtp/239.112.205.83:5140$陕西电信
CCTV-8电视剧,http://124.114.103.183:6789/rtp/239.112.205.224:5140$陕西电信
CCTV-9纪录,http://124.114.103.183:6789/rtp/239.112.205.85:5140$陕西电信
CCTV-10科教,http://124.114.103.183:6789/rtp/239.112.205.86:5140$陕西电信
CCTV-11戏曲,http://124.114.103.183:6789/rtp/239.112.205.213:5140$陕西电信
CCTV-12社会与法,http://124.114.103.183:6789/rtp/239.112.205.88:5140$陕西电信
CCTV-14少儿,http://124.114.103.183:6789/rtp/239.112.205.91:5140$陕西电信
CCTV-15音乐,http://124.114.103.183:6789/rtp/239.112.205.214:5140$陕西电信
CCTV-16奥林匹克4K,http://124.114.103.183:6789/rtp/239.111.205.134:5140$陕西电信
CCTV-17农业农村,http://124.114.103.183:6789/rtp/239.112.205.211:5140$陕西电信
CGTN英语,http://124.114.103.183:6789/rtp/239.111.205.32:5140$陕西电信
CGTN西班牙语,http://124.114.103.183:6789/rtp/239.111.205.33:5140$陕西电信
CGTN法语,http://124.114.103.183:6789/rtp/239.111.205.34:5140$陕西电信
CETV1,http://124.114.103.183:6789/rtp/239.109.205.47:8312$陕西电信
CETV2,http://124.114.103.183:6789/rtp/239.109.205.48:8320$陕西电信
CETV4,http://124.114.103.183:6789/rtp/239.111.205.15:5140$陕西电信
数字频道,#genre#
金鹰纪实,http://124.114.103.183:6789/rtp/239.112.205.203:5140$陕西电信
金鹰卡通,http://124.114.103.183:6789/rtp/239.112.205.136:5140$陕西电信
优漫卡通,http://124.114.103.183:6789/rtp/239.112.205.185:5140$陕西电信
卡酷少儿,http://124.114.103.183:6789/rtp/239.112.205.138:5140$陕西电信
嘉佳卡通,http://124.114.103.183:6789/rtp/239.112.205.135:5140$陕西电信
上海欢笑剧场,http://124.114.103.183:6789/rtp/239.112.205.236:5140$陕西电信
