卫视频道,#genre#
黑龙江卫视,http://1.58.66.11:4000/rtp/229.58.190.150:5000$黑龙江联通
湖南卫视,http://1.58.66.11:4000/rtp/229.58.190.128:5000$黑龙江联通
湖北卫视,http://1.58.66.11:4000/rtp/229.58.190.101:5000$黑龙江联通
江苏卫视,http://1.58.66.11:4000/rtp/229.58.190.37:5000$黑龙江联通
北京卫视,http://1.58.66.11:4000/rtp/229.58.190.172:5000$黑龙江联通
山东卫视,http://1.58.66.11:4000/rtp/229.58.190.160:5000$黑龙江联通
深圳卫视,http://1.58.66.11:4000/rtp/229.58.190.52:5000$黑龙江联通
四川卫视,http://1.58.66.11:4000/rtp/229.58.190.38:5000$黑龙江联通
天津卫视,http://1.58.66.11:4000/rtp/229.58.190.161:5000$黑龙江联通
河南卫视,http://1.58.66.11:4000/rtp/229.58.190.103:5000$黑龙江联通
河北卫视,http://1.58.66.11:4000/rtp/229.58.190.209:5000$黑龙江联通
山西卫视,http://1.58.66.11:4000/rtp/229.58.190.89:5000$黑龙江联通
安徽卫视,http://1.58.66.11:4000/rtp/229.58.190.162:5000$黑龙江联通
东南卫视,http://1.58.66.11:4000/rtp/229.58.190.168:5000$黑龙江联通
东方卫视,http://1.58.66.11:4000/rtp/229.58.190.54:5000$黑龙江联通
广东卫视,http://1.58.66.11:4000/rtp/229.58.190.53:5000$黑龙江联通
广西卫视,http://1.58.66.11:4000/rtp/229.58.190.31:5000$黑龙江联通
吉林卫视,http://1.58.66.11:4000/rtp/229.58.190.214:5000$黑龙江联通
贵州卫视,http://1.58.66.11:4000/rtp/229.58.190.100:5000$黑龙江联通
江西卫视,http://1.58.66.11:4000/rtp/229.58.190.208:5000$黑龙江联通
浙江卫视,http://1.58.66.11:4000/rtp/229.58.190.28:5000$黑龙江联通
云南卫视,http://1.58.66.11:4000/rtp/229.58.190.176:5000$黑龙江联通
辽宁卫视,http://1.58.66.11:4000/rtp/229.58.190.146:5000$黑龙江联通
宁夏卫视,http://1.58.66.11:4000/rtp/229.58.190.184:5000$黑龙江联通
内蒙古卫视,http://1.58.66.11:4000/rtp/229.58.190.183:5000$黑龙江联通
陕西卫视,http://1.58.66.11:4000/rtp/229.58.190.80:5000$黑龙江联通
海南卫视,http://1.58.66.11:4000/rtp/229.58.190.141:5000$黑龙江联通
青海卫视,http://1.58.66.11:4000/rtp/229.58.190.149:5000$黑龙江联通
甘肃卫视,http://1.58.66.11:4000/rtp/229.58.190.185:5000$黑龙江联通
重庆卫视,http://1.58.66.11:4000/rtp/229.58.190.27:5000$黑龙江联通
兵团卫视,http://1.58.66.11:4000/rtp/229.58.190.178:5000$黑龙江联通
延边卫视,http://1.58.66.11:4000/rtp/229.58.190.108:5000$黑龙江联通
新疆卫视,http://1.58.66.11:4000/rtp/229.58.190.179:5000$黑龙江联通
西藏卫视,http://1.58.66.11:4000/rtp/229.58.190.177:5000$黑龙江联通
☘️黑龙江省,#genre#
黑龙江影视频道,http://1.58.66.11:4000/rtp/229.58.190.14:5000$黑龙江联通
黑龙江新闻法治,http://1.58.66.11:4000/rtp/229.58.190.16:5000$黑龙江联通
黑龙江少儿频道,http://1.58.66.11:4000/rtp/229.58.190.39:5000$黑龙江联通
黑龙江文体频道,http://1.58.66.11:4000/rtp/229.58.190.116:5000$黑龙江联通
黑龙江农业科教,http://1.58.66.11:4000/rtp/229.58.190.123:5000$黑龙江联通
哈尔滨影视频道,http://1.58.66.11:4000/rtp/229.58.190.1:5000$黑龙江联通
齐齐哈尔经济法治,http://1.58.66.11:4000/rtp/229.58.190.171:5000$黑龙江联通
☘️上海市,#genre#
黑龙江都市频道,http://1.58.66.11:4000/rtp/229.58.190.121:5000$黑龙江联通
哈尔滨新闻综合,http://1.58.66.11:4000/rtp/229.58.190.195:5000$黑龙江联通
齐齐哈尔新闻综合,http://1.58.66.11:4000/rtp/229.58.190.193:5000$黑龙江联通
佳木斯新闻综合,http://1.58.66.11:4000/rtp/229.58.190.163:5000$黑龙江联通
上海东方财经,http://1.58.66.11:4000/rtp/229.58.190.105:5000$黑龙江联通
上海游戏风云,http://1.58.66.11:4000/rtp/229.58.190.114:5000$黑龙江联通
☘️吉林省,#genre#
哈尔滨生活频道,http://1.58.66.11:4000/rtp/229.58.190.22:5000$黑龙江联通
央视频道,#genre#
CCTV-1综合,http://1.58.66.11:4000/rtp/229.58.190.151:5000$黑龙江联通
CCTV-2财经,http://1.58.66.11:4000/rtp/229.58.190.153:5000$黑龙江联通
CCTV-3综艺,http://1.58.66.11:4000/rtp/229.58.190.24:5000$黑龙江联通
CCTV-4中文国际,http://1.58.66.11:4000/rtp/229.58.190.131:5000$黑龙江联通
