2026/06/16 08:35更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
央视频道,#genre#
CCTV1,http://106.59.2.85:55555/udp/239.200.201.135:8880
CCTV2,http://106.59.2.85:55555/udp/239.200.200.104:8084
CCTV3,http://106.59.2.85:55555/udp/239.200.200.18:9008
CCTV4,http://106.59.2.85:55555/udp/239.200.200.128:8652
CCTV5,http://106.59.2.85:55555/udp/239.200.200.20:9016
CCTV6,http://106.59.2.85:55555/rtp/239.200.200.21:9020
CCTV7,http://106.59.2.85:55555/udp/239.200.200.105:8104
CCTV8,http://106.59.2.85:55555/udp/239.200.200.23:9028
CCTV9,http://106.59.2.85:55555/udp/239.200.200.106:8112
CCTV10,http://106.59.2.85:55555/rtp/239.200.200.107:8116
CCTV11,http://106.59.2.85:55555/rtp/239.200.201.125:8480
CCTV12,http://106.59.2.85:55555/udp/239.200.200.108:8124
CCTV13,http://106.59.2.85:55555/udp/239.200.201.170:8620
CCTV14,http://106.59.2.85:55555/udp/239.200.200.109:8132
CCTV15,http://106.59.2.85:55555/rtp/239.200.201.112:8496
CCTV16,http://106.59.2.85:55555/rtp/239.200.200.193:8776
CCTV17,http://106.59.2.85:55555/rtp/239.200.201.128:8504
CGTN英语,http://106.59.2.85:55555/udp/239.200.200.30:8500
CGTN纪录,http://106.59.2.85:55555/udp/239.200.201.183:4220
CGTN西班牙语,http://106.59.2.85:55555/udp/239.200.201.184:4220
CGTN法语,http://106.59.2.85:55555/rtp/239.200.201.185:4220
CGTN阿拉伯语,http://106.59.2.85:55555/udp/239.200.201.186:4220
CGTN俄语,http://106.59.2.85:55555/udp/239.200.201.187:4220
第一剧场,http://106.59.2.85:55555/rtp/239.200.200.82:8004
怀旧剧场,http://106.59.2.85:55555/rtp/239.200.200.85:8032
风云剧场,http://106.59.2.85:55555/rtp/239.200.200.84:8016
风云音乐,http://106.59.2.85:55555/rtp/239.200.200.86:8008
兵器科技,http://106.59.2.85:55555/rtp/239.200.200.91:8036
风云足球,http://106.59.2.85:55555/rtp/239.200.200.88:8020
高尔夫网球,http://106.59.2.85:55555/rtp/239.200.200.89:8024
央视台球,http://106.59.2.85:55555/rtp/239.200.200.135:8076
女性时尚,http://106.59.2.85:55555/rtp/239.200.200.100:8084
电视指南,http://106.59.2.85:55555/rtp/239.200.200.83:8000
央视文化精品,http://106.59.2.85:55555/rtp/239.200.200.92:8028
世界地理,http://106.59.2.85:55555/rtp/239.200.200.130:8012
卫生健康,http://36.49.55.163:8800/rtp/239.37.0.229:5540
中国天气,http://171.213.239.229:8188/udp/239.94.1.167:5140
中国交通,http://106.59.2.85:55555/udp/239.200.201.138:8556
CETV早期教育,http://171.119.206.234:6000/rtp/226.0.2.99:8704
CETV1,http://106.59.2.85:55555/udp/239.200.201.49:8756
CETV2,http://106.59.2.85:55555/rtp/239.200.201.121:8780
CETV4,http://106.59.2.85:55555/rtp/239.200.201.122:8784
书画,http://171.213.239.229:8188/udp/239.94.1.163:5140
卫视频道,#genre#
重温经典,http://115.171.216.32:4000/rtp/225.1.8.39:8002
凤凰卫视中文台,http://171.213.239.229:8188/udp/239.94.2.51:5140
凤凰卫视资讯台,http://171.213.239.229:8188/udp/239.94.2.50:5140
凤凰卫视电影台,http://106.116.242.184:9999/rtp/239.254.201.1:5214
星空卫视,http://171.213.239.229:8188/udp/239.93.0.156:2193
Chanle V,http://171.213.239.229:8188/udp/239.93.0.157:2194
湖南卫视,http://106.59.2.85:55555/rtp/239.200.200.6:8012
浙江卫视,http://106.59.2.85:55555/udp/239.200.200.141:8724
东方卫视,http://106.59.2.85:55555/udp/239.200.200.8:8032
北京卫视,http://106.59.2.85:55555/rtp/239.200.200.5:8024
江苏卫视,http://106.59.2.85:55555/udp/239.200.200.7:8028
安徽卫视,http://106.59.2.85:55555/udp/239.200.200.129:8720
重庆卫视,http://106.59.2.85:55555/rtp/239.200.200.49:8264
四川卫视,http://106.59.2.85:55555/udp/239.200.201.137:8796
东南卫视,http://106.59.2.85:55555/udp/239.200.201.69:8764
深圳卫视,http://106.59.2.85:55555/rtp/239.200.200.67:8776
广东卫视,http://106.59.2.85:55555/udp/239.200.201.35:8768
广西卫视,http://106.59.2.85:55555/rtp/239.200.200.53:8280
厦门卫视,http://115.171.216.32:4000/rtp/225.1.8.166:4120
甘肃卫视,http://106.59.2.85:55555/udp/239.200.200.186:8356
贵州卫视,http://106.59.2.85:55555/udp/239.200.201.119:8788
河北卫视,http://123.179.63.66:4022/rtp/239.29.0.124:5000
河南卫视,http://106.59.2.85:55555/udp/239.200.201.158:8412
黑龙江卫视,http://106.59.2.85:55555/rtp/239.200.200.66:8016
湖北卫视,http://106.59.2.85:55555/rtp/239.200.200.68:8772
江西卫视,http://106.59.2.85:55555/udp/239.200.201.79:8876
吉林卫视,http://106.59.2.85:55555/udp/239.200.201.127:8792
内蒙古卫视,http://106.59.2.85:55555/rtp/239.200.200.57:8296
辽宁卫视,http://106.59.2.85:55555/udp/239.200.200.167:8736
宁夏卫视,http://106.59.2.85:55555/rtp/239.200.200.60:8308
青海卫视,http://106.59.2.85:55555/rtp/239.200.200.58:8300
山东卫视,http://106.59.2.85:55555/rtp/239.200.200.168:8748
山东教育卫视,http://106.59.2.85:55555/rtp/239.200.201.77:8132
山西卫视,http://106.59.2.85:55555/rtp/239.200.200.56:8292
陕西卫视,http://106.59.2.85:55555/rtp/239.200.200.55:8288
